vehicle_id,vehicle_type,capacity_kg,capacity_vol,fuel_efficiency_l_per_km,depot_latitude,depot_longitude,depot_name,cost_per_km,driver_name,available_from,available_until
VEH_027,small_van,500,5,0.07,40.762612,-73.958255,Warehouse 2,1.34,Driver_27,08:00,20:00
VEH_028,small_van,500,5,0.07,40.743386,-73.881811,Warehouse 3,1.43,Driver_28,08:00,20:00
VEH_029,small_van,500,5,0.07,40.743386,-73.881811,Warehouse 3,1.11,Driver_29,08:00,20:00
VEH_030,small_van,500,5,0.07,40.749894,-74.156615,Warehouse 9,1.19,Driver_30,08:00,20:00
VEH_031,medium_truck,2000,15,0.1,40.62475,-74.090397,Warehouse 7,1.46,Driver_31,08:00,20:00
VEH_032,medium_truck,2000,15,0.1,40.749894,-74.156615,Warehouse 9,0.95,Driver_32,08:00,20:00
VEH_033,medium_truck,2000,15,0.1,40.637691,-74.006,Warehouse 6,1.16,Driver_33,08:00,20:00
VEH_034,medium_truck,2000,15,0.1,40.743386,-73.881811,Warehouse 3,1.13,Driver_34,08:00,20:00
VEH_035,medium_truck,2000,15,0.1,40.749894,-74.156615,Warehouse 9,0.98,Driver_35,08:00,20:00
VEH_036,medium_truck,2000,15,0.1,40.749299,-74.040985,Warehouse 10,1.37,Driver_36,08:00,20:00
VEH_037,medium_truck,2000,15,0.1,40.69731,-74.068895,Warehouse 8,1.43,Driver_37,08:00,20:00
VEH_038,medium_truck,2000,15,0.1,40.637691,-74.006,Warehouse 6,1.35,Driver_38,08:00,20:00
VEH_039,medium_truck,2000,15,0.1,40.637691,-74.006,Warehouse 6,0.94,Driver_39,08:00,20:00
VEH_040,medium_truck,2000,15,0.1,40.749894,-74.156615,Warehouse 9,0.86,Driver_40,08:00,20:00
VEH_041,medium_truck,2000,15,0.1,40.637691,-74.006,Warehouse 6,1.22,Driver_41,08:00,20:00
VEH_042,medium_truck,2000,15,0.1,40.637691,-74.006,Warehouse 6,0.84,Driver_42,08:00,20:00
VEH_043,medium_truck,2000,15,0.1,40.62475,-74.090397,Warehouse 7,1.27,Driver_43,08:00,20:00
VEH_044,medium_truck,2000,15,0.1,40.62475,-74.090397,Warehouse 7,1.17,Driver_44,08:00,20:00
VEH_045,medium_truck,2000,15,0.1,40.637691,-74.006,Warehouse 6,1.26,Driver_45,08:00,20:00
VEH_046,medium_truck,2000,15,0.1,40.749299,-74.040985,Warehouse 10,1.21,Driver_46,08:00,20:00
VEH_047,medium_truck,2000,15,0.1,40.686469,-73.899086,Warehouse 4,1.1,Driver_47,08:00,20:00
VEH_048,medium_truck,2000,15,0.1,40.749299,-74.040985,Warehouse 10,0.94,Driver_48,08:00,20:00
VEH_049,medium_truck,2000,15,0.1,40.749894,-74.156615,Warehouse 9,1.01,Driver_49,08:00,20:00
VEH_050,medium_truck,2000,15,0.1,40.686469,-73.899086,Warehouse 4,1.17,Driver_50,08:00,20:00
VEH_051,medium_truck,2000,15,0.1,40.62475,-74.090397,Warehouse 7,1.26,Driver_51,08:00,20:00
VEH_052,medium_truck,2000,15,0.1,40.749894,-74.156615,Warehouse 9,1.35,Driver_52,08:00,20:00
VEH_053,medium_truck,2000,15,0.1,40.672124,-73.967012,Warehouse 5,1.34,Driver_53,08:00,20:00
VEH_054,medium_truck,2000,15,0.1,40.637691,-74.006,Warehouse 6,1.48,Driver_54,08:00,20:00
VEH_055,medium_truck,2000,15,0.1,40.69731,-74.068895,Warehouse 8,1.0,Driver_55,08:00,20:00
VEH_056,medium_truck,2000,15,0.1,40.69731,-74.068895,Warehouse 8,0.85,Driver_56,08:00,20:00
VEH_057,medium_truck,2000,15,0.1,40.62475,-74.090397,Warehouse 7,1.04,Driver_57,08:00,20:00
VEH_058,medium_truck,2000,15,0.1,40.791587,-74.006,Warehouse 1,1.32,Driver_58,08:00,20:00
VEH_059,medium_truck,2000,15,0.1,40.791587,-74.006,Warehouse 1,1.11,Driver_59,08:00,20:00
VEH_060,medium_truck,2000,15,0.1,40.672124,-73.967012,Warehouse 5,1.37,Driver_60,08:00,20:00
VEH_061,medium_truck,2000,15,0.1,40.749299,-74.040985,Warehouse 10,1.18,Driver_61,08:00,20:00
VEH_062,medium_truck,2000,15,0.1,40.791587,-74.006,Warehouse 1,1.45,Driver_62,08:00,20:00
VEH_063,medium_truck,2000,15,0.1,40.749894,-74.156615,Warehouse 9,1.46,Driver_63,08:00,20:00
VEH_064,medium_truck,2000,15,0.1,40.743386,-73.881811,Warehouse 3,0.85,Driver_64,08:00,20:00
VEH_065,medium_truck,2000,15,0.1,40.672124,-73.967012,Warehouse 5,1.12,Driver_65,08:00,20:00
VEH_066,medium_truck,2000,15,0.1,40.791587,-74.006,Warehouse 1,1.23,Driver_66,08:00,20:00
VEH_067,medium_truck,2000,15,0.1,40.672124,-73.967012,Warehouse 5,0.98,Driver_67,08:00,20:00
VEH_068,medium_truck,2000,15,0.1,40.686469,-73.899086,Warehouse 4,1.08,Driver_68,08:00,20:00
VEH_069,medium_truck,2000,15,0.1,40.686469,-73.899086,Warehouse 4,1.27,Driver_69,08:00,20:00
VEH_070,medium_truck,2000,15,0.1,40.637691,-74.006,Warehouse 6,0.96,Driver_70,08:00,20:00
VEH_071,large_truck,5000,30,0.12,40.791587,-74.006,Warehouse 1,1.22,Driver_71,08:00,20:00
VEH_072,large_truck,5000,30,0.12,40.672124,-73.967012,Warehouse 5,1.29,Driver_72,08:00,20:00
VEH_073,large_truck,5000,30,0.12,40.749894,-74.156615,Warehouse 9,0.86,Driver_73,08:00,20:00
VEH_074,large_truck,5000,30,0.12,40.749894,-74.156615,Warehouse 9,1.15,Driver_74,08:00,20:00
VEH_075,large_truck,5000,30,0.12,40.749894,-74.156615,Warehouse 9,0.98,Driver_75,08:00,20:00
VEH_076,large_truck,5000,30,0.12,40.749299,-74.040985,Warehouse 10,1.31,Driver_76,08:00,20:00
VEH_077,large_truck,5000,30,0.12,40.749299,-74.040985,Warehouse 10,0.93,Driver_77,08:00,20:00
VEH_078,large_truck,5000,30,0.12,40.743386,-73.881811,Warehouse 3,1.42,Driver_78,08:00,20:00
VEH_079,large_truck,5000,30,0.12,40.762612,-73.958255,Warehouse 2,1.1,Driver_79,08:00,20:00
VEH_080,large_truck,5000,30,0.12,40.791587,-74.006,Warehouse 1,0.94,Driver_80,08:00,20:00
VEH_081,large_truck,5000,30,0.12,40.69731,-74.068895,Warehouse 8,1.11,Driver_81,08:00,20:00
VEH_082,large_truck,5000,30,0.12,40.637691,-74.006,Warehouse 6,1.09,Driver_82,08:00,20:00
VEH_083,large_truck,5000,30,0.12,40.743386,-73.881811,Warehouse 3,1.1,Driver_83,08:00,20:00
VEH_084,large_truck,5000,30,0.12,40.743386,-73.881811,Warehouse 3,1.21,Driver_84,08:00,20:00
VEH_085,large_truck,5000,30,0.12,40.672124,-73.967012,Warehouse 5,1.16,Driver_85,08:00,20:00
VEH_086,large_truck,5000,30,0.12,40.637691,-74.006,Warehouse 6,0.9,Driver_86,08:00,20:00
VEH_087,large_truck,5000,30,0.12,40.749299,-74.040985,Warehouse 10,0.85,Driver_87,08:00,20:00
VEH_088,large_truck,5000,30,0.12,40.686469,-73.899086,Warehouse 4,1.31,Driver_88,08:00,20:00
VEH_089,large_truck,5000,30,0.12,40.686469,-73.899086,Warehouse 4,1.19,Driver_89,08:00,20:00
VEH_090,large_truck,5000,30,0.12,40.672124,-73.967012,Warehouse 5,1.05,Driver_90,08:00,20:00
VEH_091,large_truck,5000,30,0.12,40.672124,-73.967012,Warehouse 5,1.37,Driver_91,08:00,20:00
VEH_092,large_truck,5000,30,0.12,40.762612,-73.958255,Warehouse 2,1.07,Driver_92,08:00,20:00
VEH_093,large_truck,5000,30,0.12,40.749299,-74.040985,Warehouse 10,1.36,Driver_93,08:00,20:00
VEH_094,large_truck,5000,30,0.12,40.62475,-74.090397,Warehouse 7,1.01,Driver_94,08:00,20:00
VEH_095,large_truck,5000,30,0.12,40.749299,-74.040985,Warehouse 10,0.85,Driver_95,08:00,20:00
VEH_096,large_truck,5000,30,0.12,40.686469,-73.899086,Warehouse 4,1.45,Driver_96,08:00,20:00
VEH_097,large_truck,5000,30,0.12,40.762612,-73.958255,Warehouse 2,1.08,Driver_97,08:00,20:00
VEH_098,large_truck,5000,30,0.12,40.637691,-74.006,Warehouse 6,1.35,Driver_98,08:00,20:00
VEH_099,large_truck,5000,30,0.12,40.69731,-74.068895,Warehouse 8,1.0,Driver_99,08:00,20:00
VEH_100,large_truck,5000,30,0.12,40.743386,-73.881811,Warehouse 3,1.25,Driver_100,08:00,20:00
