vehicle_id,vehicle_type,capacity_kg,capacity_vol,fuel_efficiency_l_per_km,depot_latitude,depot_longitude,depot_name,cost_per_km,driver_name,available_from,available_until
VEH_018,medium_truck,2000,15,0.1,40.635981,-74.079632,Warehouse 4,0.88,Driver_18,08:00,20:00
VEH_019,medium_truck,2000,15,0.1,40.635981,-74.079632,Warehouse 4,1.25,Driver_19,08:00,20:00
VEH_020,medium_truck,2000,15,0.1,40.752548,-74.167388,Warehouse 5,1.17,Driver_20,08:00,20:00
VEH_021,medium_truck,2000,15,0.1,40.841597,-74.006,Warehouse 1,1.43,Driver_21,08:00,20:00
VEH_022,medium_truck,2000,15,0.1,40.657546,-73.953038,Warehouse 3,1.31,Driver_22,08:00,20:00
VEH_023,medium_truck,2000,15,0.1,40.635981,-74.079632,Warehouse 4,1.16,Driver_23,08:00,20:00
VEH_024,medium_truck,2000,15,0.1,40.635981,-74.079632,Warehouse 4,1.08,Driver_24,08:00,20:00
VEH_025,medium_truck,2000,15,0.1,40.841597,-74.006,Warehouse 1,1.08,Driver_25,08:00,20:00
VEH_026,medium_truck,2000,15,0.1,40.635981,-74.079632,Warehouse 4,0.96,Driver_26,08:00,20:00
VEH_027,medium_truck,2000,15,0.1,40.657546,-73.953038,Warehouse 3,0.81,Driver_27,08:00,20:00
VEH_028,medium_truck,2000,15,0.1,40.752548,-74.167388,Warehouse 5,1.2,Driver_28,08:00,20:00
VEH_029,medium_truck,2000,15,0.1,40.744884,-73.875728,Warehouse 2,0.95,Driver_29,08:00,20:00
VEH_030,medium_truck,2000,15,0.1,40.744884,-73.875728,Warehouse 2,0.95,Driver_30,08:00,20:00
VEH_031,medium_truck,2000,15,0.1,40.752548,-74.167388,Warehouse 5,0.89,Driver_31,08:00,20:00
VEH_032,medium_truck,2000,15,0.1,40.752548,-74.167388,Warehouse 5,0.93,Driver_32,08:00,20:00
VEH_033,medium_truck,2000,15,0.1,40.752548,-74.167388,Warehouse 5,0.82,Driver_33,08:00,20:00
VEH_034,medium_truck,2000,15,0.1,40.841597,-74.006,Warehouse 1,1.27,Driver_34,08:00,20:00
VEH_035,medium_truck,2000,15,0.1,40.744884,-73.875728,Warehouse 2,1.08,Driver_35,08:00,20:00
VEH_036,large_truck,5000,30,0.12,40.635981,-74.079632,Warehouse 4,1.19,Driver_36,08:00,20:00
VEH_037,large_truck,5000,30,0.12,40.841597,-74.006,Warehouse 1,1.25,Driver_37,08:00,20:00
VEH_038,large_truck,5000,30,0.12,40.657546,-73.953038,Warehouse 3,1.48,Driver_38,08:00,20:00
VEH_039,large_truck,5000,30,0.12,40.752548,-74.167388,Warehouse 5,0.85,Driver_39,08:00,20:00
VEH_040,large_truck,5000,30,0.12,40.635981,-74.079632,Warehouse 4,1.09,Driver_40,08:00,20:00
VEH_041,large_truck,5000,30,0.12,40.744884,-73.875728,Warehouse 2,0.97,Driver_41,08:00,20:00
VEH_042,large_truck,5000,30,0.12,40.635981,-74.079632,Warehouse 4,1.13,Driver_42,08:00,20:00
VEH_043,large_truck,5000,30,0.12,40.841597,-74.006,Warehouse 1,1.44,Driver_43,08:00,20:00
VEH_044,large_truck,5000,30,0.12,40.635981,-74.079632,Warehouse 4,1.31,Driver_44,08:00,20:00
VEH_045,large_truck,5000,30,0.12,40.752548,-74.167388,Warehouse 5,1.26,Driver_45,08:00,20:00
VEH_046,large_truck,5000,30,0.12,40.744884,-73.875728,Warehouse 2,1.11,Driver_46,08:00,20:00
VEH_047,large_truck,5000,30,0.12,40.744884,-73.875728,Warehouse 2,1.27,Driver_47,08:00,20:00
VEH_048,large_truck,5000,30,0.12,40.744884,-73.875728,Warehouse 2,0.82,Driver_48,08:00,20:00
VEH_049,large_truck,5000,30,0.12,40.744884,-73.875728,Warehouse 2,1.21,Driver_49,08:00,20:00
VEH_050,large_truck,5000,30,0.12,40.841597,-74.006,Warehouse 1,1.19,Driver_50,08:00,20:00
